id,title,type,episodes,status,score,rank,popularity,favorites,genres,image,genres_list,synopsis_clean
669,Early Reins,OVA,1,Finished Airing,5.92,10727.0,9785,5,"Action, Adventure",https://cdn.myanimelist.net/images/anime/1/1928l.jpg,"['Action', 'Adventure']","Margaret Hart is a young woman who dreams of becoming a sheriff in the American West following the Civil War. When she boards a train to the next town over and prepares to relax, she gets caught up in a hijacking attempt by a group of bandits composed of former Confederate soldiers. After being taken hostage, Margaret teams up with the other captive women to fight back against the outlaws. [Written by MAL Rewrite]"
670,Futari wa Precure: Max Heart,TV,47,Finished Airing,6.99,4570.0,5132,55,"Action, Comedy",https://cdn.myanimelist.net/images/anime/3/7536l.jpg,"['Action', 'Comedy']","Shortly after the fall of the Wicked King, the Queen of the Garden of Light lost her memory and came to Earth, in the form of a 12-year-old girl named Hikari Kujou. Now, she—with the help of Nagisa and Honoka, endowed with new costumes and powers—must find the 12 Heartiels, which hold the key to restoring the Queen's lost memories. For together once again, they are Pretty Cure. (Source: AniDB)"
671,Futari wa Precure: Max Heart Movie 1,Movie,1,Finished Airing,6.75,5784.0,7678,5,Comedy,https://cdn.myanimelist.net/images/anime/1688/142449l.jpg,['Comedy'],"The Courageous Warriors of the Garden of Hope have summoned Nagisa, Honoka, and Hikari to protect their kingdom from a witch who plans to steal the Diamond Line, which is a set of jewelry the queen of the Garden of Hope wears to a ceremony every year to replenish the water of the kingdom. The witch plans to resurrect the Dark Lord and if she does so, not only will the Garden of Hope be destroyed, but other kingdoms in the galaxies, including the Garden of Rainbows and the Garden of Light."
672,Futari wa Precure: Max Heart Movie 2 - Yukizora no Tomodachi,Movie,1,Finished Airing,7.1,4059.0,7801,8,Comedy,https://cdn.myanimelist.net/images/anime/1480/142445l.jpg,['Comedy'],"On his way to visit the Queen of the Garden of Light, the Sage of the Garden of Clouds accidentally drops the egg of the Houhou. The egg lands in the Garden of Rainbows, where it is found by Hikari, attracting the attention of a powerful pair of servants of the Dark Lord. (Source: AniDB)"
673,Yes! Precure 5,TV,49,Finished Airing,7.18,3613.0,5329,97,Action,https://cdn.myanimelist.net/images/anime/4/7535l.jpg,['Action'],"Yumehara Nozomi, a regular student, finds a magical book called the Dream Collet in the library and meets Coco and Nuts, two creatures from the Palmier Kingdom. They plead with Nozomi to restore their world, which has been destroyed by an organization called the Nightmares, by completing the Dream Collet and finding the 55 Pinkies to make any wish come true. Meanwhile, the Nightmares are moving into the real world. Once Nozomi agrees to help, Coco and Nuts transform her into the magical girl Cure Dream and turn four fellow students into her Pretty Cure team."
674,Growlanser IV: Wayfarer of the Time,OVA,1,Finished Airing,5.37,13041.0,11960,2,Action,https://cdn.myanimelist.net/images/anime/1135/106141l.jpg,['Action'],"A promotional ova that came with the PS2 game, Growlanser IV Returns which is an add-on featuring a compilation of three short stories that is told in visual novel style. Since it is a promotional ova, various main characters from Growlanser I, Growlanser II, and Growlanser III do appear in the ED. Actually, some of the fairies of these main characters do appear in Growlanser IV as that the entire Growlanser story is based on anti-war featuring time freeze, time traveling, and parallel worlds."
675,Megazone 23,OVA,4,Finished Airing,6.74,5875.0,4899,88,"Mystery, Romance, Sci-Fi",https://cdn.myanimelist.net/images/anime/1153/94528l.jpg,"['Mystery', 'Romance', 'Sci-Fi']","Shougo Yahagi is a young motorcycle enthusiast living in a world of hot bikes, hard rock, and J-pop idols. The general populace go about their lives in peace, under the watchful eyes of a computer program in the guise of pop idol sensation Eve, unbeknownst to them. Shougo himself is mostly concerned with riding his motorcycle and picking up beautiful women like Yui Takanaka, who aspires to be a dancer. Shougo's life suddenly changes when his friend, Shinji Nakagawa, shows him a top-secret project: the ""Garland,"" an advanced motorcycle that can transform into a robot. Ambushed by the military, Shougo hijacks the Garland and escapes into the city. Evading the military with the help of Yui and her friends, he gradually discovers that their idyllic society is only an illusion. [Written by MAL Rewrite]"
676,Misute♡naide Daisy,TV,12,Finished Airing,5.65,12045.0,11280,5,"Comedy, Romance, Sci-Fi",https://cdn.myanimelist.net/images/anime/1501/146211l.jpg,"['Comedy', 'Romance', 'Sci-Fi']","The story begins when an innocent, but busty, young schoolgirl goes to recover her hat from what she thought was an abandoned house. But within that house, spying on her, is a deranged madman. Seeing her he becomes obsessed with controlling her, owning her, bending her to his every whim. He, and his array of high tech tools, will threaten her with death, mutilation, control, humiliation and the loss of her own will and identity. Terrors biological, chemical and nuclear will come into play in the nightmare that is her new, controlled, life. (Source: AniDB)"
677,Nakoruru: Ano Hito kara no Okurimono,OVA,1,Finished Airing,5.38,13015.0,11452,1,"Drama, Fantasy",https://cdn.myanimelist.net/images/anime/9/10234l.jpg,"['Drama', 'Fantasy']","Nakoruru, finally returned to her home Kamuikotan after a long, fierce battle, receives a warm welcome from dear friends and the village children. Her spirit is uplifted by her reunion with companions Manari and Yantamuu. But as the trauma of battle falls away, Rela appears and challenges Nakoruru and the shadow of misfortune creeps closer... Nakoruru is a popular Ainu girl from SNK's Samurai Spirits fighting game (PC and Dreamcast), now she has her very own OVA series. (Source: AniDB)"
678,Moonlight Mile 1st Season: Lift Off,TV,12,Finished Airing,7.1,4079.0,6477,21,"Adventure, Drama, Sci-Fi",https://cdn.myanimelist.net/images/anime/1543/134894l.jpg,"['Adventure', 'Drama', 'Sci-Fi']","After scaling Mt. Everest, mountain climbing partners Saruwatari Gorou and ""Lostman"" Jack F. Woodbridge see the ISA Space Station, and each vows to make the trek into outerspace. When Helium 3, a new energy source, is discovered on the moon, NASA forms a new project named ""Nexus"" to harness that energy for use on earth. This is the story of the two and the paths they take to see their dream become a reality in the quest to harness the next-generation energy source."
679,Mahou no Chocolate,OVA,1,Finished Airing,5.21,13447.0,10277,0,"Drama, Romance",https://cdn.myanimelist.net/images/anime/1055/112163l.jpg,"['Drama', 'Romance']","Mami-chan has a crush on her school's soccer club star, Ishida-senpai, and tries against hope to work up the courage to give him chocolate for Valentine's Day. She learns from her friend Koko-chan of the mysterious Magical Chocolate. Will the magic make Mami's dream come true? (Source: AnimeNfo)"
680,Vampire Hunter,OVA,4,Finished Airing,6.56,6940.0,5104,65,"Action, Adventure, Drama, Fantasy",https://cdn.myanimelist.net/images/anime/1078/131326l.jpg,"['Action', 'Adventure', 'Drama', 'Fantasy']","The world is a dark, brooding place populated by humans, but ruled in reality by powerful beings known as the Darkstalkers, and there is constant conflict between them as they try to determine who is the most powerful of them all. Zombies, vampires, werewolves - all of them compete in contests of strength and sheer will to attain their own personal goals. All of this becomes moot when a race of Aztec robots called the Huitzil decide that humanity isn't worth saving, and start waging war on the world, while in the sky, a solar god from outer space plots the conquest of Earth. And the Darkstalkers must become unwilling allies in order to save the world. (Source: AnimeNfo)"
681,Rayearth,OVA,3,Finished Airing,6.84,5325.0,5572,32,"Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1824/97041l.jpg,"['Adventure', 'Fantasy']","The Earth lies darkened and deserted. Despite the best efforts of the film's heroine, Hikaru, the evil-filled castle of Cephiro has taken over the world and stands in the center of a lifeless Tokyo. Before the ice-witch Alcyone can take her revenge on Hikaru, she is rescued by Lantis, a young man who seals her into a magical maze where she is challenged to prove her powers while her friends are hunted down by Cephiro's warlocks. Fleeing through the silent city, Umi and Fuu must seek out the sleeping Mashin; godlike creatures that will fuse with them to form giant warriors of awesome destructive power. But the Magic Knights are afraid, untrained and alone... will even the Mashin be enough to save them from the evil acts of Cephiro? (Source: AniDB)"
682,Wild 7,OVA,2,Finished Airing,6.21,9083.0,10281,1,"Action, Drama, Mystery",https://cdn.myanimelist.net/images/anime/1164/134100l.jpg,"['Action', 'Drama', 'Mystery']","An elite police crime fighting team is formed using convicted criminals. Using their first hand knowledge of the criminal mindset, the Wild 7 are first sent after a gang of Bank robbers. Then in Wild Biker Knights they are sent after a huge crime syndicate that has many high powered government officials in its deep pockets."
683,Sore Ike! Anpanman,TV,0,Currently Airing,6.61,6663.0,9228,35,"Comedy, Fantasy",https://cdn.myanimelist.net/images/anime/1902/111797l.jpg,"['Comedy', 'Fantasy']","One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished."
684,Chikyuu Bouei Kazoku,TV,13,Finished Airing,6.64,6480.0,10537,8,"Action, Comedy, Drama, Sci-Fi",https://cdn.myanimelist.net/images/anime/1711/94083l.jpg,"['Action', 'Comedy', 'Drama', 'Sci-Fi']","The Daichis are a family in danger of tearing itself apart. Dissatisfied and money obsessed mom Seiko has served wimpy and otaku dad Mamoru with divorce papers. Daughter Nozomi who has always been saddled with all the housework, feels pained that everyone is using her. The youngest albeit most foul mouthed, Dai is forced to watch all this as everything is going to pieces. However when the Galaxy Federation recruits the Daichis to combat alien threats to the wellbeing of the Earth, it will be a chance for the family to save the world and maybe themselves."
685,Sola,TV,13,Finished Airing,7.16,3694.0,2269,417,"Drama, Romance, Supernatural",https://cdn.myanimelist.net/images/anime/7/46119l.jpg,"['Drama', 'Romance', 'Supernatural']","Yorito Morimiya is obsessed with the sky. He especially loves taking pictures of its array of different faces—sunrises, sunsets, clouds. On one of his early-morning excursions to photograph the sunrise, Yorito meets a strange girl engaged in an argument with a vending machine. By the time that Yorito forces the girl's tomato juice out of the machine, she's vanished without a trace. Sola follows the story of Yorito, his sister Aono, and their childhood friends Mana and Koyori Ishizuki, as well as that of a mysterious girl who appears and disappears, and who seems to harbor a dark secret. In a world where magic and the supernatural are never far below the surface and no one is who they seem to be, love and loneliness vie for supremacy beneath Yorito's sky."
686,Kidou Senshi Z Gundam I: Hoshi wo Tsugu Mono,Movie,1,Finished Airing,7.03,4378.0,6050,8,"Award Winning, Drama, Sci-Fi",https://cdn.myanimelist.net/images/anime/7/36701l.jpg,"['Award Winning', 'Drama', 'Sci-Fi']",Digitally remastered compilation movies for the Zeta Gundam TV series with some new footage. Part of Gundam's 25th Anniversary celebration. (Source: AniDB)
687,Kidou Senshi Z Gundam II: Koibito-tachi,Movie,1,Finished Airing,6.91,4929.0,6345,1,"Drama, Romance, Sci-Fi",https://cdn.myanimelist.net/images/anime/1183/94730l.jpg,"['Drama', 'Romance', 'Sci-Fi']",Second out of three compilation movies for the Zeta Gundam series. (Source: AniDB)
688,Kidou Senshi Z Gundam III: Hoshi no Kodou wa Ai,Movie,1,Finished Airing,7.03,4379.0,6373,7,"Drama, Sci-Fi",https://cdn.myanimelist.net/images/anime/1/1969l.jpg,"['Drama', 'Sci-Fi']",Final of three remastered Zeta Gundam compilation movies. (Source: AniDB)
689,Meitantei Holmes,TV,26,Finished Airing,7.39,2498.0,6042,93,"Action, Adventure, Comedy, Mystery",https://cdn.myanimelist.net/images/anime/4/75723l.jpg,"['Action', 'Adventure', 'Comedy', 'Mystery']","Loosely based on the ""Sherlock Holmes"" series by Sir Arthur Conan Doyle, Sherlock Hound turns all the classic characters into dogs. The canine Sherlock Holmes, his assistant Watson, and housemaid Mrs. Hudson work together to solve mysteries. The culprit is usually Professor Moriarty and his gang, who use all kinds of wacky contraptions to steal what they want."
690,X Densha de Ikou,OVA,1,Finished Airing,5.81,11286.0,9233,13,"Avant Garde, Mystery, Supernatural",https://cdn.myanimelist.net/images/anime/1/2022l.jpg,"['Avant Garde', 'Mystery', 'Supernatural']","Ishihara Toru is an everyday guy with an on-and-off girlfriend and a position working for a train buff. Things become complicated when a ghostly vehicle dubbed the X Train begins to ride the rails, destroying everything in its path. Somehow, it seems that Toru is connected with the X Train by a strange power, which draws the attention of some very dangerous and power hungry people who would wield it for their own..."
691,Mutekiou Tri-Zenon,TV,22,Finished Airing,6.16,9362.0,11929,1,Sci-Fi,https://cdn.myanimelist.net/images/anime/4/9154l.jpg,['Sci-Fi'],"During the Edo Period, 3 mysterious space capsules were sent down to earth. Fear that it might bring chaos to the earth, the humans at that time buried these 3 objects down beneath the ground and entrusted a piece of descriptive map to the Kamui family. Today, these 3 objects were awaken one by one. The first to awaken, Tri-Zenon, one of the Zenon Guardians is now driven by the descendant of the Kamui family, Akira Kamui, his brother Ai Kamui and his friend Kanna. Aliens who descend to earth with a purpose will now have to face Tri-Zenon."
692,Hijikata Toshizou: Shiro no Kiseki,OVA,1,Finished Airing,6.09,9754.0,10380,6,"Action, Drama",https://cdn.myanimelist.net/images/anime/1/2252l.jpg,"['Action', 'Drama']","A biographical sketch of the life and ideals of Hijikata Toshizou, Vice Commander of the Shinsengumi, fighting to uphold the Shogunate during the Meiji revolution."
693,Onkyou Seimeitai Noiseman,Movie,1,Finished Airing,6.46,7562.0,6574,30,"Action, Fantasy, Sci-Fi",https://cdn.myanimelist.net/images/anime/11/19521l.jpg,"['Action', 'Fantasy', 'Sci-Fi']","The film is set in the distant future in a city called Cahmpon. A scientist creates a synthetic life-form called Noiseman, which erases music from the airwaves by turning it into crystals. A group of Biker street kids rebels against this tyranny."
694,Tobira wo Akete (1995),OVA,1,Finished Airing,6.01,10233.0,9568,4,"Avant Garde, Fantasy",https://cdn.myanimelist.net/images/anime/8/5028l.jpg,"['Avant Garde', 'Fantasy']","It's bedtime, and Nonoko is about to go to sleep. But the play of light and shadow on those objects on the wall look almost like... a person."
695,Trava: Fist Planet,OVA,4,Finished Airing,6.51,7287.0,5530,60,"Comedy, Sci-Fi",https://cdn.myanimelist.net/images/anime/8/25859l.jpg,"['Comedy', 'Sci-Fi']","Ace pilot Trava and his personal mechanic buddy Shinkai, on their way to mark an out-of-the-way planet, pick up Mikuru, a girl with no memory. The three are about to discover that the planet is more than it seems."
696,Osu,Movie,1,Finished Airing,5.14,13568.0,10064,2,Slice of Life,https://cdn.myanimelist.net/images/anime/4/12253l.jpg,['Slice of Life'],"A cat just wants some alone time with his girl, but is interrupted by his stressed owner. Can't those stupid humans just keep things like relationships simple?"
697,Memory,Movie,1,Finished Airing,5.98,10345.0,10435,0,"Avant Garde, Comedy, Drama, Mystery",https://cdn.myanimelist.net/images/anime/1325/92613l.jpg,"['Avant Garde', 'Comedy', 'Drama', 'Mystery']","This is a short, privately produced animated film. While elucidating the mystery and fuzziness as well as merits and demerits of memory in idealizing reality, the story develops into a tale of destruction of human beings, turning the existence of the earth into a memory of the universe. The production, only 5 minutes long, greatly helps expand the viewer's imagination, embodying the enchantment of animation. (Source: AniDB)"
698,UFO Robo Grendizer,TV,74,Finished Airing,7.56,1809.0,6142,152,Sci-Fi,https://cdn.myanimelist.net/images/anime/1440/127558l.jpg,['Sci-Fi'],"Duke Fleed is a survivor of the Fleed Planet who is escaped to the Earth, onboard a mysterious ""spaceship"", where is raised by Dr. Umon as his adoptive son, and known as Daisuke Umon. Years after his arrival, he's faced with the threat of King Vega and his army, who want to conquer the Earth. With his friends Koji and Hikaru (and later his younger sister Maria Grace), Duke decides to fight back using his best weapon - the almighty Grendizer."
699,Himawari!!,TV,13,Finished Airing,6.42,7818.0,6482,6,"Action, Comedy, Romance",https://cdn.myanimelist.net/images/anime/9/60061l.jpg,"['Action', 'Comedy', 'Romance']","Himawari is back in all her comical ninja mischief. The sequel to Himawari continues with the many odd and hilarious adventures of Himawari, Hayato and her ninja classmates. Season two delves into Himawari and Hayato's past. Will new secrets be revealed? Will Himawari finally find out about her past and the mysterious ninja that saved her when she was little?"
700,Shizuku,Movie,1,Finished Airing,5.57,12368.0,10936,0,Comedy,https://cdn.myanimelist.net/images/anime/7/68877l.jpg,['Comedy'],"A man trapped on a raft in the middle of the ocean is in desperate need of water. Luckily for him, a few drops of rain water are about to fall from the raft's mast. Comedy ensues as the thirsty man attempts to drink the few small drops of water."
701,Chou Kousoku Gran Doll,OVA,3,Finished Airing,5.53,12521.0,10825,4,Comedy,https://cdn.myanimelist.net/images/anime/6/51849l.jpg,['Comedy'],"Hikaru has always believed herself to be just a normal high school girl...well, as normal as a teenager with a genius mad scientist for a father. She spends her time with her best friend, day dreaming about the boy she loves and watching her favoite super hero show. One day, the past that she has knows nothing about comes back to haunt her. She is shocked to learn that she is the last surviving member of royal line from a far away planet. Even more, she finds out that she has been protecting the ultimate armour and that it can decide the fate of the entire galaxy."
702,Hanoka Recap,TV Special,1,Finished Airing,3.87,14398.0,14412,0,Sci-Fi,https://cdn.myanimelist.net/images/anime/5/16847l.jpg,['Sci-Fi'],Recap episode.
703,.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,Special,1,Finished Airing,6.1,9719.0,6453,5,"Adventure, Comedy, Fantasy, Sci-Fi",https://cdn.myanimelist.net/images/anime/2/44554l.jpg,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",It's a short story about the characters from .hack// Legend of the Twilight meeting offline. It's more to hear than to see. It shows only backgrounds from the real world with the heads of the charater-game-avatars; but it reveals some interesting real life informations about the characters.
704,Full Moon wo Sagashite: Kawaii Kawaii Daibouken,Special,1,Finished Airing,6.69,6142.0,7015,17,"Comedy, Supernatural",https://cdn.myanimelist.net/images/anime/4/16208l.jpg,"['Comedy', 'Supernatural']","Mitsuki wakes up late, and must rush to a photo shoot. However, in her hury she forgets to bring Takuto and Meroko along. Now they must catch up to her, before the photo shoot begins, despite everything that gets in their way."
705,Sakura Taisen: Kanzaki Sumire Intai Kinen - Su Mi Re,OVA,1,Finished Airing,6.38,8034.0,10188,0,"Drama, Sci-Fi",https://cdn.myanimelist.net/images/anime/1424/99173l.jpg,"['Drama', 'Sci-Fi']","For years the defense and safety of the Imperial city rested on the shoulders of Sumire Kanzaki of the Flower Division. But this, as with all things, must fade away. As the top star of the Imperial Theatre Company, Sumire was the power and the light from which her comrades drew their own strength and resolve. It was through her that the Flower Division found their courage... and through her that many happy memories were made. Now the curtain rises for one final performance as the star that once shined so brightly begins to grow faint. As the spotlight dims on one legend, another must come center stage. (Source: Funimation)"
706,Yawara! Sore Yuke Koshinuke Kids!!,Movie,1,Finished Airing,6.21,9085.0,10839,1,"Comedy, Romance, Sports",https://cdn.myanimelist.net/images/anime/1188/111846l.jpg,"['Comedy', 'Romance', 'Sports']","Yawara helps a group of timid grade school kids overcome their fears and compete in a judo competition. One of the kids is Hanazono's cousin, which is how she meets them. Another is a girl who seems a whole lot like Yawara."
707,Yawara!: Zutto Kimi no Koto ga...,TV Special,1,Finished Airing,7.14,3859.0,10148,3,"Comedy, Romance, Sports",https://cdn.myanimelist.net/images/anime/1/2125l.jpg,"['Comedy', 'Romance', 'Sports']",Yawara Inokuma competes for Japan in the Atlanta Olympic Games as she meets with several familiar faces throughout the tournament.
708,Taiho Shichau zo in America,TV Special,1,Finished Airing,6.47,7489.0,8610,3,"Action, Comedy, Mystery",https://cdn.myanimelist.net/images/anime/11/75565l.jpg,"['Action', 'Comedy', 'Mystery']","Fresh from being transferred to the LAPD, Miyuki and Natsumi must investigate some unusual car theft incidents in their area. And when Miyuki's yellow 1973 Ford Mustang Mach 1 is ""gone in 60 seconds"" (literally), the situation gets more complicated when they discover who the thief is."
709,Taiho Shichau zo Special,TV,20,Finished Airing,7.0,4549.0,7459,7,"Action, Comedy",https://cdn.myanimelist.net/images/anime/9/21692l.jpg,"['Action', 'Comedy']","Best friends and partners Miyuki Kobayakawa and Natsumi Sujimoto, along with the rest of the gang at Bokuto station, confront a motley group of offenders ranging from hi-tech panty thieves, purse-snatchers, and traffic violators. Using Miyuki's driving prowess and tech knowledge, as well as Natsumi's spunk and strength, the duo at times must resort to unconventional methods to see that justice is served."
710,Taiho Shichau zo The Movie,Movie,1,Finished Airing,7.37,2570.0,6794,13,"Action, Comedy",https://cdn.myanimelist.net/images/anime/1921/92313l.jpg,"['Action', 'Comedy']","Bokutou Precinct rarely deals with criminals more nefarious than speeding sportscar drivers. So when Officers Nikaido Yoriko and Aoi Futaba find a cache of illegal firearms in a stolen car, and a rash of traffic control malfunctions snarls traffic along Tokyo's streets, it is up to Tokyo's finest to figure out what's gone wrong. And of course, it'll take the talents of Kobayakawa Miyuki and Tsujimoto Natsumi to crack the case. But will Miyuki's trusty Mini-Pat and Natsumi's fierce determination be enough to stop a devious mastermind from exploiting the weaknesses of the system and crippling Tokyo—and the world—for good? (Source: AnimeNfo)"
711,Taiho Shichau zo: Second Season,TV,26,Finished Airing,7.37,2571.0,6390,13,"Action, Comedy",https://cdn.myanimelist.net/images/anime/9/21852l.jpg,"['Action', 'Comedy']","AA! Megami Sama creator, Kosuke Fujishima, is back with the second season of Taiho Schihauzo (You're Under Arrest). Same characters, two policewomen, the gentle Miyuki and the wild Natsumi teamed up together in Bokuto police station`s traffic division. Other characters including Kenichi, the motorcycle cop who has a feeling for Miyuki; Yoriko with her gossip and Aoi, a transvestite. They all ready to take on harmless criminals and costumed weirdos... You think you can have a better police station? (Source: AniDB)"
712,Wind: A Breath of Heart,OVA,1,Finished Airing,5.9,10809.0,10931,0,Comedy,https://cdn.myanimelist.net/images/anime/1262/143592l.jpg,['Comedy'],"Set four months after the resolution of the game the anime Wind is based on (via Hikari's ending), the entire gang is planning a big Christmas party. However, with the reappearance of Hikari, weird things start to happen in the city of Kazune. How will things turn out? (Source: AniDB)"
713,Warau Hyouteki,OVA,1,Finished Airing,6.09,9796.0,8142,3,"Horror, Mystery",https://cdn.myanimelist.net/images/anime/1385/116773l.jpg,"['Horror', 'Mystery']","Yuzuru Shiga lives an ordinary life, spending most of his time with his high school archery team along with his girlfriend, Satomi. His relatively mundane life gets complicated, however, when his aunt dies under suspicious circumstances and his cousin and fiancée, Azusa, re-enters his life. While Yuzuru sees her as a mere relative, she is dangerously serious about their future marriage and will not tolerate the threat of Satomi. As things continue to get ever stranger since Azusa's return, Yuzuru now has to decide whether his relationship with Satomi is worth the potential danger. [Written by MAL Rewrite]"
714,Fight!!,OVA,1,Finished Airing,4.76,14051.0,12767,1,"Action, Fantasy",https://cdn.myanimelist.net/images/anime/1623/94539l.jpg,"['Action', 'Fantasy']","Yonosuke Hikura appears to be an ordinary high school student. Yet he has inherited the important role of protecting the harmony between Heaven and Earth. With the help of the magical sword Chitentai, and Tsukinojo Inbe, he courageously battles the demons, sending them back to the Earth World, from which they have escaped."
715,Bakuen Campus Guardress,OVA,4,Finished Airing,5.94,10570.0,9592,10,"Action, Comedy, Supernatural",https://cdn.myanimelist.net/images/anime/1087/93010l.jpg,"['Action', 'Comedy', 'Supernatural']","Long ago, the gate to the world of darkness was sealed. Now evil warriors, known as Remnants, are trying to reopen the gate and let demons take over the world. However, at Tobira High School, there exist guardians of the gate who must risk their lives to prevent the gate from being opened."
716,Hayate no Gotoku!,TV,52,Finished Airing,7.5,2040.0,1167,1606,"Action, Comedy, Romance",https://cdn.myanimelist.net/images/anime/7/73932l.jpg,"['Action', 'Comedy', 'Romance']","According to Murphy's Law, ""anything that can go wrong, will go wrong,"" and truer words cannot describe the unfortunate life of the hard-working Hayate Ayasaki. Abandoned by his parents after accumulating a debt of over one hundred fifty million yen, he is sold off to the yakuza, initiating his swift getaway from a future he does not want. On that fateful night, he runs into Nagi Sanzenin, a young girl whom he decides to try and kidnap to pay for his family's massive debt. Unfortunately, due to his kind-hearted nature and a string of misunderstandings, Nagi believes Hayate to be confessing his love to her. After saving her from real kidnappers, Hayate is hired as Nagi's personal butler, upon which she is revealed to be a member of one of the wealthiest families in Japan. Highly skilled but cursed with the world's worst luck, Hayate gets straight to work serving his employer all the while trying to deal with the many misfortunes that befall him. From taking care of a mansion to fending off dangerous foes, and even unintentionally wooing the hearts of the women around him, Hayate is in over his head in the butler comedy Hayate no Gotoku! [Written by MAL Rewrite]"
717,Wind: A Breath of Heart Specials,Special,4,Finished Airing,6.08,9816.0,11961,0,"Drama, Romance, Supernatural",https://cdn.myanimelist.net/images/anime/1895/143594l.jpg,"['Drama', 'Romance', 'Supernatural']","Four DVD exclusive episodes that were included in the DVD release of the series. They serve as episodes 9.5, 10.4, 10.8, and 12.5."
718,Zettai Muteki Raijin-Oh (1992),OVA,4,Finished Airing,6.43,7771.0,15055,2,Sci-Fi,https://cdn.myanimelist.net/images/anime/1781/94499l.jpg,['Sci-Fi'],Continues the story of the TV series.
719,El Cazador de la Bruja,TV,26,Finished Airing,7.2,3472.0,3179,271,"Adventure, Drama, Mystery",https://cdn.myanimelist.net/images/anime/1446/98891l.jpg,"['Adventure', 'Drama', 'Mystery']","Nadie is a bounty hunter with an attitude, and she's got a lock on her next target: Ellis, a young amnesiac girl who is a suspect in the murder of a famous scientist. Nadie manages to apprehend Ellis, but on a whim, decides to accompany her to Wiñay Marka, a place which supposedly holds the key to unlocking Ellis's memories and her mysterious past. However, Nadie cautions Ellis that this does not mean she will go free—once Ellis has found what she is looking for, Nadie will turn her over to the authorities. With Ellis's connection to a gemstone called the Inca Rose as their only guide, the two set off on their journey south through Mexico to search for the mysterious ""Eternal City"" of Wiñay Marka. [Written by MAL Rewrite]"
720,Shining Tears X Wind,TV,13,Finished Airing,6.46,7578.0,4127,68,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/10/2298l.jpg,"['Action', 'Adventure', 'Fantasy']","Mysterious disappearances are occurring one after the other in Tatsumi Town. Kiriya has a vision from a mysterious beautiful girl with pointy ears. A book talking for an alternative world is found. And Mao searching for her long lost friend, Zero, comes to our world. But what she didn’t expect is to find Souma and Kureha, and even less, to accidentally take them to her world. Now, Souma and Kureha have to find a way to come back. But other forces are playing their part in the darkness and Souma with Kureha will find that going back is harder than they first anticipated."
721,Tamala 2010: A Punk Cat in Space,Movie,1,Finished Airing,6.03,10134.0,6542,71,"Avant Garde, Comedy, Sci-Fi",https://cdn.myanimelist.net/images/anime/1836/149762l.jpg,"['Avant Garde', 'Comedy', 'Sci-Fi']","In the year 2010, practically one hundred percent of Cat Earth's GDP comes from the megacorporation Catty &amp; Co., which is rapidly spreading across the rest of the galaxy. Here lives Tamala, a beautiful yet foul-mouthed cat, who decides to travel to the planet of her birth, Orion. After an unfortunate crash landing on the planet Q, Tamala meets Michaelangelo, a fellow cat, whom Tamala refers to as ""MoiMoi."" As Tamala and Michaelangelo explore the planet's capital, Hate City—which is under martial law to separate the feuding cat and dog populations—they pass by graffiti and museum exhibits about the ancient cult of Minerva that speak of something dark and sinister. After Tamala catches the eye of the extremely violent motorcycle-riding Kentauros, she and Michaelangelo flee, but mysteries about Tamala's identity continue to surface. Why did Tamala originally leave Orion, and what exactly is her connection to Catty &amp; Co.? [Written by MAL Rewrite]"
722,Eikoku Koi Monogatari Emma: Molders-hen,TV,12,Finished Airing,7.8,1081.0,3845,114,"Drama, Romance",https://cdn.myanimelist.net/images/anime/6/80118l.jpg,"['Drama', 'Romance']","In the faraway village of Haworth, a new chapter in Emma's life has begun. Now employed by the wealthy Molders family, Emma has resolved to put the past behind her. She'll have to adjust to a new house, a charming (but eccentric) new mistress, and a host of fellow servants, some with buried pasts of their own. Meanwhile, back in London, William is doing his best to uphold his father's wishes as the Jones family heir, but try as he might, he can't forget Emma. Yet, whenever he feels at his worst, Eleanor is always there to comfort him with a warm, shy smile. Could the answer to his broken heart be right before his eyes? (Source: RightStuf)"
