id,title,type,episodes,status,score,rank,popularity,favorites,synopsis,genres,image
179,Wolf's Rain,TV,26.0,Finished Airing,7.79,1114.0,765,5907,"In a dying world, there exists an ancient legend: when the world ends, the gateway to paradise will be opened. This utopia is the sole salvation for the remnants of life in this barren land, but the legend also dictates that only wolves can find their way to this mythical realm. Though long thought to be extinct, wolves still exist and live amongst humans, disguising themselves through elaborate illusions. 

A lone wolf named Kiba finds himself drawn by an intoxicating scent to Freeze City, an impoverished town under the rule of the callous Lord Orkham. Here, Kiba discovers that wolves Hige, Tsume, and Toboe have been drawn in by the same aroma. By following the fragrance of ""Lunar Flowers,"" said to be the key to opening the door to their ideal world, the wolves set off on a journey across desolate landscapes and crumbling cities to find their legendary promised land. However, they are not the only ones seeking paradise, and those with more sinister intentions will do anything in their power to reach it first.

[Written by MAL Rewrite]","Action, Adventure, Drama, Fantasy, Mystery",https://cdn.myanimelist.net/images/anime/5/59403l.jpg
180,Words Worth,OVA,5.0,Finished Airing,6.72,,7226,38,"The legend has survived for generation. The Words Worth tablet, which will unlock the secrets of the Universe for the one who can decipher it, has been shattered. The warring tribes of Light and Shadow blame each other, and their accusations lead to all out war!

Astral, the undisciplined heir to the throne of the Shadow Forces, lusts for his bride-to-be, Sharon. But Sharon, an accomplished warrior herself, feels her body drawn toward Caesar, the Shadow Tribe`s bravest swordsman.

Sharon battles alongside Caesar during an assault by the Light Forces, and her ferocious beauty captivates Sir Fabris, the leader of the Tribe of Light. Fabris` army loses the battle, but he vows that he will one day get Sharon into his bed, the hard way, if necessary.

Meanwhile, Astral takes his sexual frustrations out on Maria, a Light Tribe sorceress who has been taken captive. As Astral penetrates Maria, Sir Fabris prepares to launch a penetration of his own: a full-scale attack on the Tribe of Shadow!

(Source: AnimeNfo)","Adventure, Fantasy, Hentai",https://cdn.myanimelist.net/images/anime/12/6030l.jpg
181,Yumeria,TV,12.0,Finished Airing,6.05,9986.0,4552,34,"On his 16th birthday, Tomokazu Mikuri had a realistic dream where he sees a girl battling a giant floating monstrosity. When he wakes up, he is surprised that the girl is actually sleeping next to him... Whenever he sleeps from now on, he ends up back at the dream world, and more and more people that he knows keep showing up there too. He finds out from a mysterious masked woman in the dream world named Silk that they are fighting against one named Faydoom, and he is the one who provides the powers to those girls so that they can fight these monsters. And so it goes...

(Source: ANN)","Action, Comedy, Ecchi",https://cdn.myanimelist.net/images/anime/1135/128536l.jpg
182,Samurai Champloo,TV,26.0,Finished Airing,8.52,140.0,109,40453,"Fuu Kasumi is a young and clumsy waitress who spends her days peacefully working in a small teahouse. That is, until she accidentally spills a drink all over one of her customers! With a group of samurai now incessantly harassing her, Fuu desperately calls upon another samurai in the shop, Mugen, who quickly defeats them with his wild fighting technique, utilizing movements reminiscent to that of breakdancing. Unfortunately, Mugen decides to pick a fight with the unwilling ronin Jin, who wields a more precise and traditional style of swordfighting, and the latter proves to be a formidable opponent. The only problem is, they end up destroying the entire shop as well as accidentally killing the local magistrate's son.

For their crime, the two samurai are captured and set to be executed. However, they are rescued by Fuu, who hires the duo as her bodyguards. Though she no longer has a place to return to, the former waitress wishes to find a certain samurai who smells of sunflowers and enlists the help of the now exonerated pair to do so. Despite initially disapproving of this idea, the two eventually agree to assist the girl in her quest; thus, the trio embark upon an adventure to find this mysterious warrior—that is, if Fuu can keep Mugen and Jin from killing each other.

Set in an alternate Edo Period of Japan, Samurai Champloo follows the journey of these three eccentric individuals in an epic quest full of action, comedy, and dynamic sword fighting, all set to the beat of a unique hip-hop infused soundtrack.

[Written by MAL Rewrite]","Action, Adventure, Comedy",https://cdn.myanimelist.net/images/anime/1370/135212l.jpg
183,Lodoss-tou Senki: Eiyuu Kishi Den,TV,27.0,Finished Airing,7.11,4001.0,4012,145,"Five years after the death of the Emperor of Marmo in the War of Heroes, Parn is now the Free Knight of Lodoss, he and his old allies now famous through the land. However, the Emperor's right-hand man, Ashram, seeks the scepter of domination to re-unify Lodoss under his former leader's banner. Meanwhile, beyond his attempts at conquest lies a more sinister force beginning to set the stage for the resurrection of the goddess of death and destruction...

(Source: ANN)","Action, Adventure, Drama, Fantasy, Romance",https://cdn.myanimelist.net/images/anime/1065/92495l.jpg
184,Lodoss-tou Senki,OVA,13.0,Finished Airing,7.31,2898.0,2468,790,"Alongside new and old allies, Parn saves his village from the ruthless attacks of a goblin tribe. Following their victory, Parn, his priest friend Etoh, the elf Deedlit, the dwarf Ghim, and the magician Slayn set out on a journey together to investigate the evil that has started to haunt the island of Lodoss. The party engages suspicious demonic creatures but gets arrested by the soldiers of a fortified city. Although Parn and his friends are quickly released, they cannot stop Ashram—a powerful warrior tasked by the rogue hero Beld to subjugate Lodoss—from conquering the city and murdering its beloved captain.

Ashamed by his own weakness, Parn swears an oath to surpass Ashram. However, hiding behind Beld's political ambitions, the witch Karla seems to have set darker plans into motion, and Parn will have to enlist additional help to stop a major catastrophe from destroying Lodoss and everything he holds dear.

[Written by MAL Rewrite]","Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1644/92493l.jpg
185,R.O.D: Read or Die,OVA,3.0,Finished Airing,7.61,1645.0,2796,365,"Yomiko Readman is a lovable, near-sighted bibliomaniac working as a substitute teacher at a Japanese high school. Her real identity, however, is that of a secret agent for the British Library Special Operations Division. Her codename: ""The Paper."" The moniker denotes her supernatural ability to freely manipulate paper into any object she can imagine, including tools and weapons in her fight against the powerful and self-serving IJIN (Great Historical Figure) Army! Along with her partner, the enigmatic ""Ms. Deep,"" Yomiko travels across the world in attempt to solve the mystery behind the reincarnation of historical figures and their attempt to control the world.

(Source: RightStuf)","Action, Adventure, Mystery, Sci-Fi",https://cdn.myanimelist.net/images/anime/1824/98849l.jpg
186,R.O.D: The TV,TV,26.0,Finished Airing,7.52,1985.0,2821,443,"Anita King, Maggie Mui, and Michelle Cheung are the Paper Sisters. They run the Three Sisters Detective Agency in Hong Kong which is dedicated to solving cases involving books. They are hired as local guides for Nenene Sumiregawa, a Japanese novelist who has been struggling with writer's block following the disappearance of her longtime friend, Yomiko Readman. The sisters are all Paper Masters—individuals with the power to control paper—and with their abilities, they save Nenene from the dangerous terrorists targeting her at a book signing. But in case they strike again, the sisters remain as her bodyguards to protect her from further harm.

This is a dream come true for bookworms Maggie and Michelle who love Nenene's stories, but the young Anita cannot stand books despite her powers over paper. The three struggle to adapt to their new daily life in Japan, guarding Nenene while continuing their detective work under a mysterious organization, Dokusensha. However, the more they get to know Nenene, the more they discover the link between her, the disappearance of her friend Yomiko, and the mysterious books Dokusensha sends the Paper Masters to investigate. What began as a simple job ends up a bigger case than they have ever had before. Are these girls really willing to risk their lives over literature?

[Written by MAL Rewrite]","Action, Adventure, Comedy, Drama, Sci-Fi",https://cdn.myanimelist.net/images/anime/3/73350l.jpg
187,Ranma ½,TV,161.0,Finished Airing,7.77,1171.0,975,4622,"Ranma Saotome is a top-class martial artist and prodigy at the Saotome ""Anything-Goes"" school of martial arts. While training in China, he and his father meet a terrible fate when they accidentally fall into a cursed spring. Now, Ranma is cursed to turn into a girl when splashed with cold water, and only hot water can turn him back into a boy.

Things are only complicated further when Ranma discovers that his father has arranged for him to marry one of Soun Tendo's three daughters in order to secure the future of the Tendo dojo. Though Soun learns of Ranma's predicament, he is still determined to go ahead with the engagement, and chooses his youngest daughter Akane, who happens to be a skilled martial artist herself and is notorious for hating men.

Ranma ½ follows the hilarious adventures of Ranma and Akane as they encounter various opponents, meet new love interests, and find different ways to make each other angry, all while their engagement hangs over their head.

[Written by MAL Rewrite]","Action, Comedy, Romance, Ecchi",https://cdn.myanimelist.net/images/anime/13/6441l.jpg
188,Pure Mail,OVA,2.0,Finished Airing,6.18,,9915,11,"Episode 1:
""There is no need for relationships"". Kei Ogata carried with him a trying, sad past. His only joy in life was chatting and mailing as a different person on the internet. One day he met a kind gentle girl on the net named Eve became friends with her. As time passed, they began sharing a strong bond of friendship. Then the other day, Kei began suspecting classmate Midori was Eve... 

Episode 2:
The Summer Festival has past. Kei struggles with his own past, trying not to become the monster he hated so much. Midori worried about her best friend Miki look to A.W. for help. Little does she know, that the very A.W. was Kei and that he was Miki's problem. Will Kei be able to confess his love or will he forever be number two to his own alternate identity? 

(Source: AniDB)",Hentai,https://cdn.myanimelist.net/images/anime/1518/112232l.jpg
189,Project A-Ko,Movie,1.0,Finished Airing,6.85,5245.0,4940,156,"Sixteen years after its destruction by a meteor, Graviton City has been rebuilt into a futuristic metropolis. However, this is of little concern to superpowered high school student Eiko Magami, who only cares about her best friend Shiiko Kotobuki and arriving at school on time. Unfortunately, the incredibly intelligent Biko Daitokuji intends to befriend Shiiko, taking Eiko's place as the Shiiko's best friend using any means she can.

Biko decides that, to accomplish this, she must defeat Eiko in combat. In order to overcome her super strength and speed, Biko creates a mecha and challenges Eiko in front of their school gate. As the two commence their battle, an extremely large spaceship hovers over Earth, searching for something left behind.

[Written by MAL Rewrite]","Adventure, Comedy, Sci-Fi",https://cdn.myanimelist.net/images/anime/2/58391l.jpg
190,Pia Carrot e Youkoso!!,OVA,3.0,Finished Airing,5.96,,9728,3,"Yusuke Kinoshita is forced by his father to work at his restaurant Pia Carrot all summer due to his bad grades in school. What first seems to be a boring job becomes a memorable experience due to his interactions with his co-workers and his boss. 

(Source: ANN)","Comedy, Hentai",https://cdn.myanimelist.net/images/anime/1111/116093l.jpg
191,Pia Carrot e Youkoso!! 2,OVA,3.0,Finished Airing,6.1,,10845,3,"Yusuke (from the first Pia Carrot series) returns as the manager with a whole new cast. So the new male lead is Maeda Koji. Despite being late after an ""accident,"" Koji manages to get the job as the Carrot's waiter because he's very persistent. Included within the set are Azusa (the female lead who hates Koji for his perversion), Ryoko (the manager who's sweet on Koji by working him very hard), Aoi (the token alcoholic), Jun (the secret-hiding waitor), and Mina (Azusa's cute little sister). Pia Carrot 2 is served up as a romantic comedy, with a side of hentai.

(Source: ANN)","Comedy, Hentai",https://cdn.myanimelist.net/images/anime/1610/116094l.jpg
192,Pia Carrot e Youkoso!! 2 DX,OVA,6.0,Finished Airing,6.19,9173.0,10619,2,"Kouji wants to work part-time, so, when he saw a cute girl with the Pia Carrot uniform, he tried to get a job there. When he's on the way, he accidentally bumped Azusa, and with some misunderstanding, they literally hate each other. What is the surprise of Kouji when he finds that she also got a job in the Pia Carrot, facing her daily. But as time passes, he will discover that 'hate' is not the appropriate word to describe his feelings...

(Source: ANN)","Comedy, Romance",https://cdn.myanimelist.net/images/anime/1884/153618l.jpg
193,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,Movie,1.0,Finished Airing,5.82,11256.0,10390,1,"High schoolers Sayaka Takai and Akihiko Kannazuki work together at a restaurant chain ""Pia Carrot."" Both are interested in each other, but before either could make a move Sayaka was temporarily rotated to the newly established branch at a beach resort. While waitress girls at this new location did their best to confront harassment, make new friends, and attract new customers by attending a beauty contest, Sayaka's feeling for Akihiko never stops and has become stronger and stronger.

(Source: ANN)","Comedy, Romance",https://cdn.myanimelist.net/images/anime/1860/116096l.jpg
194,Shin Angel,OVA,5.0,Finished Airing,6.27,,10264,13,"Kousuke is a high school student. He just recently found out that his childhood friend Shizuka (whom he has a crush on) is now going to his high school. However, they haven't seen each other since they were five and much has changed. They don't like each other at first but they accept each other's differences and continue their friendship. They go on with their lives until small events start to escalate and they start to show affection for each other. In the meantime, Kousuke's good heart, lechery and luck lead him into the beds of various other young women, in his attempts to solve their problems. 

(Source: ANN)","Comedy, Drama, Hentai",https://cdn.myanimelist.net/images/anime/1268/119710l.jpg
195,Kidou Senkan Nadesico,TV,26.0,Finished Airing,7.49,2096.0,3172,501,"Akito doesn't want to fight. Despite a childhood spent on the anime Gekiganger 3, a Mecha show, he'd rather cook than pilot a Mecha. Fate intervenes when his home on Mars is destroyed, and he is transported instantly to the Earth, mysteriously. He has questions no one can answer fully, but follows a girl from a chance meeting in hopes to discover any. The girl, Yurika, is captain of the private battleship Nadesico, and in order to follow her, he enlists as their cook. Possessing the nanite implants that allow to control mechas, he's a handy backup pilot for the mechas of the Nadesico. He joins a crew bent on avenging Mars that seems to be composed of only misfits, otakus, and ditzes; however, in reality, they are handpicked experts. They take their own private war back to Mars to face the harsh reality that life may not always be like a Giant Mecha series.

(Source: ANN)","Comedy, Romance, Sci-Fi",https://cdn.myanimelist.net/images/anime/3/53955l.jpg
196,Kidou Senkan Nadesico: The Prince of Darkness,Movie,1.0,Finished Airing,6.72,5961.0,5574,33,"Two years have passed since the end of the ""Martian Successor Nadesico."" Akito and Yurika have disappeared. The Jovians and the Earthlings have joined forces and Ruri is now captain of Nadesico B. As the popularity of Boson Jumping grows, a vast transportation network has been developed. Dubbed the Hisago Plan, this network of Chulip portals holds the answers to the mysteries behind Bose particles and their power. If those secrets should fall into the wrong hands, it could mean big trouble. And big trouble there is. A Martian splinter group has launched an offensive, leaving the United Forces befuddled and desperate. So much so, in fact, that the former crew of the Nadesico is called back to active duty for a special unsanctioned mission-to save us all. Does this menagerie of misfits have what it takes? Who will win the race for the Boson technology? And what the heck happened to Akito and Yurika?","Award Winning, Drama, Sci-Fi",https://cdn.myanimelist.net/images/anime/10/51253l.jpg
197,Kuro no Danshou,OVA,4.0,Finished Airing,5.65,,10602,12,"While vacationing with his adopted daughter, Private Detective Susuki becomes trapped in a secluded ski resort with a few other vacationers after a storm closes the place down. All is well until one of the guests is found brutally murdered. Being the good investigator he is, Susuki gets to work to find the killer. While digging for the killer, Susuki uncovers a lot of dirt on the other guests and even finds out a thing or two about his own past. But, as Susuki struggles to find the killer, the other guests start to point the finger at him. 

(Source: AniDB)","Horror, Hentai",https://cdn.myanimelist.net/images/anime/10/29841l.jpg
198,Mezzo Forte,OVA,2.0,Finished Airing,6.63,,4069,118,"For some individuals, baseball is more than just a game. Momokitchi Momoi, an underworld boss and the owner of a professional team known as the ""Peach Twisters,"" seems to be the perfect example. There is only one punishment for players who have let him down: death. Terrible as he may sound, there is someone even more wicked than him—his daughter, Momomi.

The three members of the Danger Service Agency—Mikura Suzuki, Tomohisa Harada, and Kenichi Kurokawa—are tasked with kidnapping Momokitchi and taking down his criminal empire. Surrounded by armed bodyguards, he is bound to be a risky target. However, born with a gun in hand, Mikura is used to dancing with danger. The only unknown quantity is Momomi, reputed to be a cold-blooded killer with a twisted mind. Should she stand in the DSA's way, Suzuki might finally find herself a worthy opponent.

[Written by MAL Rewrite]","Action, Comedy, Sci-Fi, Hentai",https://cdn.myanimelist.net/images/anime/6/37391l.jpg
199,Mezzo DSA,TV,13.0,Finished Airing,6.61,6647.0,4800,81,"Mikura, Kurokawa, and Harada are the 3 members of the Danger Service Agency (DSA). Mikura is the brawns of the group, Harada is the brains, and Kurokawa is just a bitter ex-cop that likes to think he's in charge. They'll take on any job as long as it involves lots of danger and, of course, money. If you want to live long enough to eat dinner, you better not cross them. Their biggest case, however, could prove to be finding out why someone wants Kurokawa assassinated. 

(Source: ANN)","Action, Adventure, Comedy, Mystery, Sci-Fi",https://cdn.myanimelist.net/images/anime/9/3235l.jpg
200,Dragon Ball,TV,153.0,Finished Airing,7.98,724.0,150,17621,"Gokuu Son is a young boy who lives in the woods all alone—that is, until a girl named Bulma runs into him in her search for a set of magical objects called the ""Dragon Balls."" Since the artifacts are said to grant one wish to whoever collects all seven, Bulma hopes to gather them and wish for a perfect boyfriend. Gokuu happens to be in possession of a dragon ball, but unfortunately for Bulma, he refuses to part ways with it, so she makes him a deal: he can tag along on her journey if he lets her borrow the dragon ball's power. With that, the two set off on the journey of a lifetime.

They don't go on the journey alone. On the way, they meet the old Muten-Roshi and wannabe disciple Kuririn, with whom Gokuu trains to become a stronger martial artist for the upcoming World Martial Arts Tournament. However, it's not all fun and games; the ability to make any wish come true is a powerful one, and there are others who would do much worse than just wishing for a boyfriend. To stop those who would try to abuse the legendary power, they train to become stronger fighters, using their newfound strength to help the people around them along the way.

[Written by MAL Rewrite]","Action, Adventure, Comedy, Fantasy",https://cdn.myanimelist.net/images/anime/1887/92364l.jpg
201,Dragon Ball GT,TV,64.0,Finished Airing,6.52,7213.0,356,2265,"Emperor Pilaf finally has his hands on the Black Star Dragon Balls after years of searching, which are said to be twice as powerful as Earth's normal ones. Pilaf is about to make his wish for world domination when he is interrupted by Gokuu Son. As a result, Pilaf flubs his wish and accidentally turns Gokuu back into a child.

After the wish is granted, the Black Star Dragon Balls scatter across the galaxy. However, Gokuu discovers that they will cause the Earth to explode unless they are all brought back within a year. Uniting with his granddaughter Pan and a young adult Trunks, Gokuu sets off on an adventure through the universe to find the Black Star Dragon Balls and save his planet from destruction.

[Written by MAL Rewrite]","Action, Adventure, Comedy, Fantasy",https://cdn.myanimelist.net/images/anime/1262/93119l.jpg
202,Elfen Lied,TV,13.0,Finished Airing,7.46,2201.0,80,24879,"Lucy is a special breed of human referred to as Diclonius, born with a short pair of horns and invisible telekinetic hands that lands her as a victim of inhumane scientific experimentation by the government. However, once circumstances present her an opportunity to escape, Lucy, corrupted by the confinement and torture, unleashes a torrent of bloodshed as she escapes her captors.

During her breakout, she receives a crippling head injury that leaves her with a split personality: someone with the mentality of a harmless child possessing limited speech capacity. In this state of instability, she stumbles upon two college students, Kouta and his cousin Yuka, who unknowingly take an injured fugitive into their care, unaware of her murderous tendencies. This act of kindness will change their lives, as they soon find themselves dragged into the shadowy world of government secrecy and conspiracy.

[Written by MAL Rewrite]","Action, Drama, Horror, Romance, Suspense",https://cdn.myanimelist.net/images/anime/1780/121555l.jpg
203,FLCL,OVA,6.0,Finished Airing,8.04,637.0,229,32561,"Naota Nandaba is an ordinary sixth grader living in a city where nothing amazing ever seems to happen. After his brother Tasuku leaves town to play baseball in America, Naota takes it upon himself to look after everything Tasuku left behind—from his top bunk bed to his ex-girlfriend Mamimi Samejima, who hasn't stopped clinging to Naota since Tasuku left. 

Little does Naota know, however, that his mundane existence is on the verge of being changed forever: enter Haruko Haruhara, a Vespa-riding, bass guitar-wielding, pink-haired psychopath whose first encounter with Naota leaves him with tire tracks on his back and a giant horn on his head. Though all he wants is some peace and quiet, when Haruko takes up residence at his parents' home, Naota finds himself dragged into the heart of the greatest battle for supremacy that Earth—and quite possibly the entire universe—has ever seen.

[Written by MAL Rewrite]","Avant Garde, Comedy, Sci-Fi, Suspense",https://cdn.myanimelist.net/images/anime/7/77356l.jpg
204,Jigoku Shoujo,TV,26.0,Finished Airing,7.6,1646.0,697,3342,"It is said that if someone seeks revenge, they should dig two graves—and this is especially true of those who use the Hell Correspondence website. At the stroke of midnight, this ominous web domain becomes accessible, and whoever inputs the name of their grudge will get a visit from Ai Enma, the Hell Girl. Ai explains that she will send the target's soul to hell, but the requester will also end up in hell when they die.

For some, that price is far too steep; for others, where they will spend their afterlife has no bearing on their current, day-to-day hell. But one thing is certain: the Hell Girl will always be available to those in need of revenge, while she stoically performs her duty of ferrying souls into the darkness.

[Written by MAL Rewrite]","Horror, Mystery, Supernatural, Suspense",https://cdn.myanimelist.net/images/anime/4/86907l.jpg
205,Ninin ga Shinobuden,TV,12.0,Finished Airing,6.87,5157.0,4083,138,"Kaede is a normal school girl who was studying for her exams for school when suddenly she is interrupted by Shinobu, a girl who is a ninja-in-training, attempting to complete her exam. The problem is, in order for her to successfully complete her exam, she must steal one of Kaede's panties!

In Kaede's attempt to stop Shinobu from stealing her panties, an unexpected friendship is forged between the two. Kaede soon becomes engrossed in Shinobu's world, surrounded by partying ninjas and a yellow pac-man like thing by the name of Onsokumaru, who claims to be the master of all ninjas!

[Written by MAL Rewrite]",Comedy,https://cdn.myanimelist.net/images/anime/8/6591l.jpg
206,Air Master,TV,27.0,Finished Airing,6.94,4809.0,3813,159,"A former gymnast, Aikawa Maki has turned her skills to a different way of life—street fighting. The only thing that truly makes her feel alive is violence. With amazing power and grace, she fights opponent after opponent, repeatedly demonstrating the gymnastic talent that earns her her nom de guerre, ""Airmaster.""","Action, Comedy",https://cdn.myanimelist.net/images/anime/2/21019l.jpg
207,Asagiri no Miko,TV,26.0,Finished Airing,6.1,9722.0,7399,7,"Since childhood, Tadahiro Amatsu has two different-colored eyes - one brown and one light hazel. But because of a dark secret behind his left eye, he's become a target for the masked sorcerer Ayatara Miramune and his band of demons. To combat the demons appearing all over town, Yuzu Hieda, a priestess in training, recruits four other girls from her high school. Under the supervision of Yuzu's elder sister Kurako, the five young priestesses must undergo months of training to master their abilities.

(Source: ANN)","Action, Comedy, Supernatural",https://cdn.myanimelist.net/images/anime/3/75196l.jpg
208,Cardcaptor Sakura,TV,70.0,Finished Airing,8.18,439.0,529,14543,"Ten-year-old Sakura Kinomoto is an ordinary fourth-grade student living in Tomoeda until, one day, she stumbles upon a mysterious book of cards titled ""The Clow."" Pondering over her discovery, she unintentionally causes a magical gust of wind to scatter the cards all over town.

The accident awakens the Beast of the Seal—Keroberos, nicknamed ""Kero""—who tells Sakura that she has released the mystical ""Clow Cards"" created by the sorcerer Clow Reed. Due to each Card's ability to act independently and their incredible power, Clow had sealed them away. Now that they have been set free, the Cards pose great danger to the world, and it is up to Sakura to put an end to them.

Appointing Sakura as the ""Cardcaptor"" and granting her the Sealed Key, Kero tasks her with finding and recapturing all the Clow Cards. Alongside her best friend Tomoyo Daidouji, and with Kero's guidance, Sakura must learn to balance her new secret duty with the everyday troubles as she takes flight on her magical adventures as Cardcaptor Sakura.

[Written by MAL Rewrite]","Adventure, Comedy, Drama, Romance",https://cdn.myanimelist.net/images/anime/8/60781l.jpg
209,Daa! Daa! Daa!,TV,78.0,Finished Airing,7.63,1564.0,4711,258,"Miyu is an 8th grade girl, whose parents have been hired by NASA. They take off to America leaving Miyu with Mr. Saionji. Later, Mr. Saionji decides to go on a 1 year long trip to India leaving Miyu alone with his son, Kanata. More complications rise when an Alien baby and his babysitter pet crashes/lands in their house. To make things worse, alien baby starts calling Miyu and Kanata Mom and Dad, also showing ESP power and floating around. 

(Source: ANN)","Comedy, Sci-Fi",https://cdn.myanimelist.net/images/anime/3/21166l.jpg
210,Dan Doh!!,TV,26.0,Finished Airing,6.63,6507.0,9222,3,"Dandoh was playing a baseball game with friends Yuka and Kohei and hits a wild fly ball which crashes into the principal's potted plants. Rather than getting mad, the principal admires Dandoh's swing and introduces him to the world of golf. It's now an adventure in golf as Dandoh is under the watchful eye of a former pro-golfer. They enter a tournament together and play for a shot at the national championships.

(Source: ANN)","Adventure, Sports",https://cdn.myanimelist.net/images/anime/3/15231l.jpg
211,Meitantei Conan,TV,,Currently Airing,8.18,449.0,709,15820,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child.

Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa.

Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday.

[Written by MAL Rewrite]","Adventure, Comedy, Mystery",https://cdn.myanimelist.net/images/anime/7/75199l.jpg
212,E's Otherwise,TV,26.0,Finished Airing,6.57,6874.0,5645,26,"Kai, who has powers different from the rest, together with his sickly sister Hikaru was protected by an organization called ASHURUM. Scouted by Eiji, Kai was delegated to the ASHURUM special force AESES and undergo intensive training. Whenever he was free, Kai visited Hikaru at the hospital belonging to the organization, but Hikaru's condition never improved. So, one year later, with amazing growth from the intensive training, Kai decides to escape from the organization.

(Source: ANN)","Action, Adventure, Drama, Sci-Fi",https://cdn.myanimelist.net/images/anime/2/6260l.jpg
213,Koukyoushihen Eureka Seven,TV,50.0,Finished Airing,8.05,622.0,560,9296,"In the backwater town of Bellforest lives a 14-year-old boy named Renton Thurston. He desires to leave his home behind and join the mercenary group known as Gekkostate, hoping to find some adventure to brighten up his mundane life. However, stuck between his grandfather's insistence to become a mechanic like him and the pressure of his deceased father's legacy, the only excitement Renton finds is in his pastime of riding the Trapar wave particles that are dispersed throughout the air, an activity akin to surfing.

Everything changes when an unknown object crashes through Renton's garage, discovered to be a Light Finding Operation—a robot capable of riding the Trapar waves—specifically known as the Nirvash typeZERO. Its pilot is a young girl named Eureka, a member of the Gekkostate, who requests a tune-up for the Nirvash. Their meeting sparks the beginning of Renton's involvement with the Gekkostate as he takes off alongside Eureka as the co-pilot of the Nirvash.

[Written by MAL Rewrite]","Adventure, Drama, Romance, Sci-Fi",https://cdn.myanimelist.net/images/anime/12/34443l.jpg
214,Rekka no Honoo,TV,42.0,Finished Airing,7.33,2778.0,2861,273,"Most people think that ninjas are a thing of the past, but Rekka Hanabishi wishes otherwise. Although he comes from a family that makes fireworks, he likes to think of himself as a self-styled, modern-day ninja. Sounds like fun, right? Maybe not. Rekka ends up in lots of fights because he once made the bold announcement that if someone can defeat him, he will become their servant.

Then one day, Rekka meets Yanagi Sakoshita, a gentle girl with the ability to heal any wound or injury. Their meeting sets off a chain of events, which culminate into a shocking discovery. Rekka is the last surviving member of a legendary ninja clan that was wiped out centuries ago. Even more astonishing than being an actual ninja, he also wields the power to control fire. What does this mean for Rekka? Who are these strange people after him and Yanagi? Find out in Rekka no Honoo!","Action, Adventure",https://cdn.myanimelist.net/images/anime/1646/113504l.jpg
215,Gankutsuou,TV,24.0,Finished Airing,8.11,543.0,1028,4033,"In the year 5053, French aristocrats Viscount Albert de Morcerf and Baron Franz d'Epinay attend the festival of Carnival on the moon city of Luna. While Franz is just looking to have fun, Albert is seeking something more to fill his life—but he finds more than he bargained for in The Count of Monte Cristo, a mysterious and charming self-made nobleman who meets his gaze during an opera performance.
 
Through a few twists and turns, Albert befriends the Count and introduces him into French society. The Count, however, has more on his mind than just friendship; he plots to finally unleash his vengeance on those who wronged him years earlier. Gankutsuou follows Albert and the Count's intertwined destinies and the ultimate price paid for enacting revenge.

[Written by MAL Rewrite]","Award Winning, Drama, Mystery, Sci-Fi, Supernatural, Suspense",https://cdn.myanimelist.net/images/anime/1910/138560l.jpg
216,Genshiken,TV,12.0,Finished Airing,7.63,1566.0,1423,1530,"Kanji Sasahara is an introverted college freshman just looking for a place to fit in. One day, he happens to stumble upon the club known as the Society for the Study of Modern Visual Culture—otherwise known as Genshiken—that serves to bring the full spectrum of otaku culture together. His first visit to the club, however, does not end well as Sasahara's pride is crushed by his senior, Harunobu Madarame, and he leaves the meeting in full denial of his otaku nature. However, after befriending club member Makoto Kousaka, who turns out to be a hardcore otaku despite his looks, Sasahara becomes more involved with club activities which include obsessing over their favorite anime, reading doujinshi, and attending conventions. There, he meets other interesting people like Kousaka's vehemently non-otaku girlfriend Saki Kasukabe, who strives to turn her boyfriend into a ""normal guy.""

While Saki struggles to understand otaku culture and her boyfriend's love for it, Sasahara finds himself enjoying his time at Genshiken, gradually shedding any denial he once had about being an otaku and immersing himself in an otaku lifestyle. 

[Written by MAL Rewrite]",Slice of Life,https://cdn.myanimelist.net/images/anime/1890/94707l.jpg
217,Girls Bravo: First Season,TV,11.0,Finished Airing,6.35,8220.0,1654,336,"Small for his age, Yukinari has been bullied and abused by girls all his life. Now in high school, he has developed a rare condition: whenever girls touch him, or even come close, he breaks out in hives. Imagine his surprise, when he is suddenly transported to the city of Seiren on a mystic world invisibly orbiting the Earth, and populated with vast numbers of women and very few men. Fortunately, he has a new friend, Miharu-chan, whose touch inexplicably doesn't affect him.

(Source: ANN)","Comedy, Fantasy, Romance, Ecchi",https://cdn.myanimelist.net/images/anime/12/48027l.jpg
